time;V(/LPF);
0.0100009;-0.741413;
0.0100109;-0.71965;
0.0100209;-0.697404;
0.0100309;-0.674687;
0.0100409;-0.65151;
0.0100509;-0.627884;
0.0100609;-0.603821;
0.0100709;-0.579334;
0.0100809;-0.554437;
0.0100909;-0.529143;
0.0101009;-0.503466;
0.0101109;-0.477421;
0.0101209;-0.451024;
0.0101309;-0.424289;
0.0101409;-0.397234;
0.0101509;-0.369874;
0.0101609;-0.342227;
0.0101709;-0.314311;
0.0101809;-0.286142;
0.0101909;-0.257741;
0.0102009;-0.229124;
0.0102109;-0.200312;
0.0102209;-0.171324;
0.0102309;-0.142179;
0.0102409;-0.112897;
0.0102509;-0.0834998;
0.0102609;-0.0540064;
0.0102709;-0.0244382;
0.0102809;0.00518405;
0.0102909;0.0348391;
0.0103009;0.0645058;
0.0103109;0.0941626;
0.0103209;0.123788;
0.0103309;0.153361;
0.0103409;0.182859;
0.0103509;0.212261;
0.0103609;0.241546;
0.0103709;0.270692;
0.0103809;0.299677;
0.0103909;0.32848;
0.0104009;0.357081;
0.0104109;0.385458;
0.0104209;0.41359;
0.0104309;0.441457;
0.0104409;0.469038;
0.0104509;0.496313;
0.0104609;0.523264;
0.0104709;0.549869;
0.0104809;0.576111;
0.0104909;0.60197;
0.0105009;0.627428;
0.0105109;0.652468;
0.0105209;0.677072;
0.0105309;0.701222;
0.0105409;0.724903;
0.0105509;0.748098;
0.0105609;0.770792;
0.0105709;0.79297;
0.0105809;0.814618;
0.0105909;0.835721;
0.0106009;0.856266;
0.0106109;0.87624;
0.0106209;0.895631;
0.0106309;0.914428;
0.0106409;0.93262;
0.0106509;0.950195;
0.0106609;0.967145;
0.0106709;0.983459;
0.0106809;0.99913;
0.0106909;1.01415;
0.0107009;1.02851;
0.0107109;1.0422;
0.0107209;1.05522;
0.0107309;1.06756;
0.0107409;1.07922;
0.0107509;1.09019;
0.0107609;1.10047;
0.0107709;1.11005;
0.0107809;1.11894;
0.0107909;1.12712;
0.0108009;1.1346;
0.0108109;1.14138;
0.0108209;1.14745;
0.0108309;1.15281;
0.0108409;1.15747;
0.0108509;1.16143;
0.0108609;1.16468;
0.0108709;1.16723;
0.0108809;1.16908;
0.0108909;1.17023;
0.0109009;1.17068;
0.0109109;1.17044;
0.0109209;1.16952;
0.0109309;1.1679;
0.0109409;1.16561;
0.0109509;1.16263;
0.0109609;1.15899;
0.0109709;1.15467;
0.0109809;1.14969;
0.0109909;1.14406;
0.0110009;1.13777;
0.0110109;1.13084;
0.0110209;1.12327;
0.0110309;1.11506;
0.0110409;1.10623;
0.0110509;1.09677;
0.0110609;1.08671;
0.0110709;1.07603;
0.0110809;1.06476;
0.0110909;1.0529;
0.0111009;1.04045;
0.0111109;1.02743;
0.0111209;1.01383;
0.0111309;0.999682;
0.0111409;0.984978;
0.0111509;0.96973;
0.0111609;0.953947;
0.0111709;0.937638;
0.0111809;0.92081;
0.0111909;0.903474;
0.0112009;0.885637;
0.0112109;0.867309;
0.0112209;0.8485;
0.0112309;0.829218;
0.0112409;0.809474;
0.0112509;0.789277;
0.0112609;0.768636;
0.0112709;0.747563;
0.0112809;0.726067;
0.0112909;0.704158;
0.0113009;0.681847;
0.0113109;0.659144;
0.0113209;0.636062;
0.0113309;0.612609;
0.0113409;0.588799;
0.0113509;0.564642;
0.0113609;0.540149;
0.0113709;0.515333;
0.0113809;0.490206;
0.0113909;0.46478;
0.0114009;0.439068;
0.0114109;0.413081;
0.0114209;0.386834;
0.0114309;0.360339;
0.0114409;0.333609;
0.0114509;0.306659;
0.0114609;0.279501;
0.0114709;0.252151;
0.0114809;0.224622;
0.0114909;0.196929;
0.0115009;0.169086;
0.0115109;0.141109;
0.0115209;0.113013;
0.0115309;0.0848129;
0.0115409;0.0565247;
0.0115509;0.0281643;
0.0115609;-0.000252471;
0.0115709;-0.0287092;
0.0115809;-0.0571895;
0.0115909;-0.0856766;
0.0116009;-0.114154;
0.0116109;-0.142604;
0.0116209;-0.171011;
0.0116309;-0.199356;
0.0116409;-0.227623;
0.0116509;-0.255793;
0.0116609;-0.28385;
0.0116709;-0.311776;
0.0116809;-0.339552;
0.0116909;-0.367161;
0.0117009;-0.394585;
0.0117109;-0.421807;
0.0117209;-0.448807;
0.0117309;-0.47557;
0.0117409;-0.502075;
0.0117509;-0.528307;
0.0117609;-0.554246;
0.0117709;-0.579876;
0.0117809;-0.605179;
0.0117909;-0.630137;
0.0118009;-0.654733;
0.0118109;-0.67895;
0.0118209;-0.702771;
0.0118309;-0.726179;
0.0118409;-0.749158;
0.0118509;-0.771691;
0.0118609;-0.793763;
0.0118709;-0.815358;
0.0118809;-0.83646;
0.0118909;-0.857055;
0.0119009;-0.877127;
0.0119109;-0.896663;
0.0119209;-0.915647;
0.0119309;-0.934067;
0.0119409;-0.95191;
0.0119509;-0.969162;
0.0119609;-0.985812;
0.0119709;-1.00185;
0.0119809;-1.01726;
0.0119909;-1.03203;
0.0120009;-1.04615;
0.0120109;-1.05962;
0.0120209;-1.07242;
0.0120309;-1.08455;
0.0120409;-1.09599;
0.0120509;-1.10674;
0.0120609;-1.11679;
0.0120709;-1.12614;
0.0120809;-1.13477;
0.0120909;-1.14269;
0.0121009;-1.14989;
0.0121109;-1.15636;
0.0121209;-1.1621;
0.0121309;-1.16711;
0.0121409;-1.17138;
0.0121509;-1.17491;
0.0121609;-1.17771;
0.0121709;-1.17976;
0.0121809;-1.18108;
0.0121909;-1.18165;
0.0122009;-1.18149;
0.0122109;-1.18058;
0.0122209;-1.17894;
0.0122309;-1.17657;
0.0122409;-1.17347;
0.0122509;-1.16964;
0.0122609;-1.16509;
