time;V(/LPF);
0.0100032;-0.495052;
0.0100132;-0.487329;
0.0100232;-0.473668;
0.0100332;-0.45422;
0.0100432;-0.429201;
0.0100532;-0.398894;
0.0100632;-0.363647;
0.0100732;-0.323865;
0.0100832;-0.280009;
0.0100932;-0.232587;
0.0101032;-0.18215;
0.0101132;-0.129289;
0.0101232;-0.0746195;
0.0101332;-0.0187834;
0.0101432;0.0375642;
0.0101532;0.093761;
0.0101632;0.149145;
0.0101732;0.203063;
0.0101832;0.254877;
0.0101932;0.303974;
0.0102032;0.349771;
0.0102132;0.391722;
0.0102232;0.429325;
0.0102332;0.462131;
0.0102432;0.489742;
0.0102532;0.511824;
0.0102632;0.528104;
0.0102732;0.538377;
0.0102832;0.54251;
0.0102932;0.540439;
0.0103032;0.532173;
0.0103132;0.517792;
0.0103232;0.497449;
0.0103332;0.471366;
0.0103432;0.439832;
0.0103532;0.403199;
0.0103632;0.36188;
0.0103732;0.316341;
0.0103832;0.2671;
0.0103932;0.214715;
0.0104032;0.159785;
0.0104132;0.102936;
0.0104232;0.0448191;
0.0104332;-0.0139019;
0.0104432;-0.0725538;
0.0104532;-0.130464;
0.0104632;-0.18697;
0.0104732;-0.241421;
0.0104832;-0.293194;
0.0104932;-0.341694;
0.0105032;-0.386366;
0.0105132;-0.426695;
0.0105232;-0.462221;
0.0105332;-0.492536;
0.0105432;-0.517294;
0.0105532;-0.536212;
0.0105632;-0.549074;
0.0105732;-0.555737;
0.0105832;-0.556127;
0.0105932;-0.550243;
0.0106032;-0.538157;
0.0106132;-0.520012;
0.0106232;-0.496022;
0.0106332;-0.466467;
0.0106432;-0.431694;
0.0106532;-0.392106;
0.0106632;-0.348166;
0.0106732;-0.300384;
0.0106832;-0.249314;
0.0106932;-0.195551;
0.0107032;-0.139715;
0.0107132;-0.0824558;
0.0107232;-0.0244343;
0.0107332;0.0336784;
0.0107432;0.0912112;
0.0107532;0.1475;
0.0107632;0.201898;
0.0107732;0.253777;
0.0107832;0.302544;
0.0107932;0.347638;
0.0108032;0.388546;
0.0108132;0.424801;
0.0108232;0.455992;
0.0108332;0.481769;
0.0108432;0.501843;
0.0108532;0.515995;
0.0108632;0.524072;
0.0108732;0.525996;
0.0108832;0.521758;
0.0108932;0.511422;
0.0109032;0.495124;
0.0109132;0.47307;
0.0109232;0.445532;
0.0109332;0.412847;
0.0109432;0.37541;
0.0109532;0.333674;
0.0109632;0.288139;
0.0109732;0.239353;
0.0109832;0.187896;
0.0109932;0.134385;
0.0110032;0.0794545;
0.0110132;0.023759;
0.0110232;-0.0320403;
0.0110332;-0.0872817;
0.0110432;-0.141311;
0.0110532;-0.193488;
0.0110632;-0.243196;
0.0110732;-0.289848;
0.0110832;-0.332894;
0.0110932;-0.371825;
0.0111032;-0.406185;
0.0111132;-0.435569;
0.0111232;-0.459632;
0.0111332;-0.478093;
0.0111432;-0.490738;
0.0111532;-0.497421;
0.0111632;-0.498066;
0.0111732;-0.49267;
0.0111832;-0.481301;
0.0111932;-0.464098;
0.0112032;-0.44127;
0.0112132;-0.41309;
0.0112232;-0.379897;
0.0112332;-0.342089;
0.0112432;-0.300117;
0.0112532;-0.254483;
0.0112632;-0.205733;
0.0112732;-0.154448;
0.0112832;-0.101241;
0.0112932;-0.0467461;
0.0113032;0.00838554;
0.0113132;0.0634958;
0.0113232;0.117926;
0.0113332;0.171027;
0.0113432;0.222162;
0.0113532;0.27072;
0.0113632;0.316119;
0.0113732;0.357814;
0.0113832;0.395304;
0.0113932;0.428136;
0.0114032;0.455914;
0.0114132;0.4783;
0.0114232;0.49502;
0.0114332;0.505865;
0.0114432;0.510699;
0.0114532;0.509453;
0.0114632;0.502132;
0.0114732;0.488812;
0.0114832;0.46964;
0.0114932;0.444832;
0.0115032;0.414669;
0.0115132;0.3795;
0.0115232;0.339727;
0.0115332;0.295813;
0.0115432;0.248266;
0.0115532;0.197638;
0.0115632;0.144519;
0.0115732;0.089528;
0.0115832;0.0333071;
0.0115932;-0.0234867;
0.0116032;-0.0801888;
0.0116132;-0.136135;
0.0116232;-0.190669;
0.0116332;-0.24315;
0.0116432;-0.292962;
0.0116532;-0.339519;
0.0116632;-0.38227;
0.0116732;-0.420712;
0.0116832;-0.454388;
0.0116932;-0.4829;
0.0117032;-0.505906;
0.0117132;-0.523131;
0.0117232;-0.534366;
0.0117332;-0.539472;
0.0117432;-0.538381;
0.0117532;-0.531096;
0.0117632;-0.517695;
0.0117732;-0.498326;
0.0117832;-0.473205;
0.0117932;-0.442618;
0.0118032;-0.406913;
0.0118132;-0.366497;
0.0118232;-0.321834;
0.0118332;-0.273437;
0.0118432;-0.221862;
0.0118532;-0.167704;
0.0118632;-0.111585;
0.0118732;-0.054153;
0.0118832;0.00392923;
0.0118932;0.0619917;
0.0119032;0.119364;
0.0119132;0.175385;
0.0119232;0.229406;
0.0119332;0.280805;
0.0119432;0.328988;
0.0119532;0.373399;
0.0119632;0.413527;
0.0119732;0.44891;
0.0119832;0.479139;
0.0119932;0.503868;
0.0120032;0.522814;
0.0120132;0.535761;
0.0120232;0.542562;
0.0120332;0.543144;
0.0120432;0.537502;
0.0120532;0.525709;
0.0120632;0.507904;
0.0120732;0.484299;
0.0120832;0.455173;
0.0120932;0.420868;
0.0121032;0.381788;
0.0121132;0.338389;
0.0121232;0.291181;
0.0121332;0.240716;
0.0121432;0.187582;
0.0121532;0.132401;
0.0121632;0.0758159;
0.0121732;0.0184866;
0.0121832;-0.0389191;
0.0121932;-0.0957332;
0.0122032;-0.151295;
0.0122132;-0.204959;
0.0122232;-0.256102;
0.0122332;-0.304132;
0.0122432;-0.348492;
0.0122532;-0.388671;
0.0122632;-0.424205;
0.0122732;-0.454685;
0.0122832;-0.479763;
0.0122932;-0.499153;
0.0123032;-0.512637;
0.0123132;-0.520066;
0.0123232;-0.521362;
0.0123332;-0.51652;
0.0123432;-0.505604;
0.0123532;-0.488753;
0.0123632;-0.466173;
0.0123732;-0.438138;
0.0123832;-0.404986;
0.0123932;-0.367114;
0.0124032;-0.324976;
0.0124132;-0.279074;
0.0124232;-0.229954;
0.0124332;-0.1782;
0.0124432;-0.124427;
0.0124532;-0.0692732;
0.0124632;-0.0133912;
0.0124732;0.0425567;
0.0124832;0.0979083;
0.0124932;0.152009;
0.0125032;0.204219;
0.0125132;0.253921;
0.0125232;0.300529;
0.0125332;0.343491;
0.0125432;0.382301;
0.0125532;0.416502;
0.0125632;0.445688;
0.0125732;0.469518;
0.0125832;0.487709;
0.0125932;0.500049;
0.0126032;0.506391;
0.0126132;0.506663;
0.0126232;0.500862;
0.0126332;0.489057;
0.0126432;0.471388;
0.0126532;0.448065;
0.0126632;0.419366;
0.0126732;0.385628;
0.0126832;0.347252;
0.0126932;0.304692;
0.0127032;0.258452;
0.0127132;0.209079;
0.0127232;0.157157;
0.0127332;0.103301;
0.0127432;0.0481483;
0.0127532;-0.00764768;
0.0127632;-0.0634261;
0.0127732;-0.118526;
0.0127832;-0.172294;
0.0127932;-0.224093;
0.0128032;-0.273307;
0.0128132;-0.319353;
0.0128232;-0.361681;
0.0128332;-0.399789;
0.0128432;-0.433221;
0.0128532;-0.461577;
0.0128632;-0.484518;
0.0128732;-0.501766;
0.0128832;-0.513112;
0.0128932;-0.518414;
0.0129032;-0.517603;
0.0129132;-0.510682;
0.0129232;-0.497725;
0.0129332;-0.478876;
0.0129432;-0.45435;
0.0129532;-0.424428;
0.0129632;-0.389455;
0.0129732;-0.349836;
0.0129832;-0.306029;
0.0129932;-0.258544;
0.0130032;-0.207932;
0.0130132;-0.154783;
0.0130232;-0.0997156;
0.0130332;-0.0433731;
0.0130432;0.0135871;
0.0130532;0.0704995;
0.0130632;0.126699;
0.0130732;0.181528;
0.0130832;0.234344;
0.0130932;0.284529;
0.0131032;0.331495;
0.0131132;0.37469;
0.0131232;0.413607;
0.0131332;0.447788;
0.0131432;0.476831;
0.0131532;0.500393;
0.0131632;0.518194;
0.0131732;0.530024;
0.0131832;0.535739;
0.0131932;0.53527;
0.0132032;0.528616;
